Rk,Team,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3pt,3P,2P,0-3,3月10日,10月16日,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,82,19855,0.473,13.8,0.62,0.307,0.127,0.089,0.096,0.38,0.543,0.658,0.431,0.429,0.429,0.359,0.543,0.058,380,0.289,1184,0.837,0.234,0.381
2,Boston Celtics,82,19780,0.448,14,0.619,0.266,0.183,0.086,0.085,0.381,0.513,0.659,0.411,0.38,0.411,0.344,0.498,0.051,333,0.279,1087,0.844,0.205,0.38
3,Brooklyn Nets,82,19980,0.456,13.4,0.672,0.274,0.174,0.119,0.105,0.328,0.513,0.641,0.425,0.466,0.375,0.341,0.489,0.051,331,0.27,1113,0.788,0.196,0.342
4,Chicago Bulls,82,19905,0.473,13.7,0.63,0.301,0.149,0.085,0.095,0.37,0.537,0.669,0.41,0.428,0.417,0.365,0.522,0.058,386,0.283,1154,0.811,0.205,0.41
5,Charlotte Hornets,82,19830,0.47,13.7,0.624,0.308,0.143,0.083,0.091,0.376,0.536,0.669,0.396,0.412,0.416,0.361,0.522,0.065,433,0.289,1169,0.865,0.214,0.422
6,Cleveland Cavaliers,82,19755,0.495,13.7,0.638,0.305,0.137,0.101,0.095,0.362,0.561,0.699,0.429,0.439,0.433,0.38,0.512,0.066,437,0.269,1182,0.812,0.221,0.407
7,Dallas Mavericks,82,19780,0.459,13.8,0.635,0.267,0.17,0.1,0.098,0.365,0.525,0.693,0.399,0.396,0.417,0.344,0.516,0.062,407,0.238,986,0.82,0.215,0.361
8,Denver Nuggets,82,19730,0.458,13.2,0.63,0.302,0.168,0.084,0.076,0.37,0.528,0.666,0.408,0.428,0.36,0.339,0.543,0.069,424,0.275,1087,0.83,0.254,0.382
9,Detroit Pistons,82,19855,0.469,13.1,0.673,0.278,0.199,0.103,0.093,0.327,0.53,0.679,0.439,0.428,0.39,0.345,0.522,0.058,355,0.295,1188,0.817,0.21,0.393
10,Golden State Warriors,82,19805,0.444,14.2,0.632,0.245,0.19,0.101,0.095,0.368,0.5,0.681,0.377,0.393,0.394,0.347,0.522,0.051,354,0.255,1045,0.794,0.206,0.363
11,Houston Rockets,82,19830,0.466,13,0.656,0.293,0.195,0.094,0.073,0.344,0.532,0.7,0.396,0.421,0.37,0.34,0.504,0.055,360,0.301,1249,0.817,0.264,0.359
12,Indiana Pacers,82,19705,0.45,13.8,0.627,0.307,0.146,0.083,0.091,0.373,0.507,0.634,0.378,0.39,0.392,0.354,0.53,0.061,387,0.275,1034,0.876,0.213,0.371
13,Los Angeles Clippers,82,19830,0.457,13.1,0.669,0.302,0.167,0.109,0.091,0.331,0.513,0.659,0.382,0.393,0.416,0.343,0.504,0.058,401,0.276,1143,0.799,0.176,0.372
